name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
Methane/Krypton                                           [C1/KR],C.[Kr],XR0,1,0.9930853,1,1.0003826
Methane/Nitrous oxide                                     [C1/N2O],C.[N-]=[N+]=O,XR0,0.98876,1.02354,1,1
Methane/Carbonyl sulfide                                  [C1/COS],C.C(=O)=S,XR0,1,1.0391,1,1.1443
Methane/Propylene                                         [C1/PRY],C.CC=C,XR0,0.998,1.117,1,1
Methane/R22                                               [C1/R22],C.C(F)(F)Cl,XR0,1,1.1114773,1,1.0219928
Methane/Dimethyl ether                                    [C1/DME],C.COC,XR0,1,1.1118,1,1.1094
Methane/Sulfur dioxide                                    [C1/SO2],C.O=S=O,XR0,1.03694,1.07082,1,1
Methane/Perfluorobutane                                   [C1/C4F10],C.C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,XR0,1.013695,1.12365,1,1
Methane/Neopentane                                        [C1/C5A],C.CC(C)(C)C,XR0,1,1.1976,1,1.0772
Methane/Methylcyclohexane                                 [C1/C1CC6],C.CC1CCCCC1,XR0,0.98,1.363,0.961,1.041
Methane/Dodecane                                          [C1/C12],C.CCCCCCCCCCCC,XR0,0.904,1.716,1,0.978
Parahydrogen/Orthohydrogen                                [PH2/OH2],[HH].[HH],XR0,1,1,1,1
Hydrogen/Deuterium                                        [H2/D2],[HH].[2H][2H],XR0,1.0087153,0.99511,1,1
Deuterium/Neon                                            [D2/NE],[2H][2H].[Ne],XR0,0.98882,0.83393,1,1
Deuterium/Nitrogen                                        [D2/N2],[2H][2H].N#N,XR0,1.015610028,1.22898,1,1
Neon/Argon                                                [NE/AR],[Ne].[Ar],XR0,1.004,1.0994,1,1.051
Neon/Oxygen                                               [NE/O2],[Ne].O=O,XR0,1,1.1554168,1,1.026061
Neon/Krypton                                              [NE/KR],[Ne].[Kr],XR0,1.02385,1.1957,1,1
Nitrogen/Carbon monoxide                                  [N2/CO],N#N.[C-]#[O+],XR0,1.002409,0.9941,1,1.001317
Nitrogen/Argon                                            [N2/AR],N#N.[Ar],XR0,0.999442,0.989311,1.006697,1.001549
Nitrogen/R14                                              [N2/R14],N#N.C(F)(F)(F)F,XR0,1,1.0674,1,1.1693
Nitrogen/R13                                              [N2/R13],N#N.C(F)(F)(F)Cl,XR0,1,1.181,1,1.1727
Nitrogen/Propylene                                        [N2/PRY],N#N.CC=C,XR0,0.99,1.197,1,1
Nitrogen/R22                                              [N2/R22],N#N.C(F)(F)Cl,XR0,1,1.2360548,1,1.0311034
Nitrogen/R12                                              [N2/R12],N#N.C(F)(F)(Cl)Cl,XR0,1,1.2981559,1,1.0625855
Nitrogen/R13I1                                            [N2/CF3I],N#N.C(F)(F)(F)I,XR0,0.9987715,1.30226,1,1
Nitrogen/R227ea                                           [N2/R227EA],N#N.C(C(F)(F)F)(C(F)(F)F)F,XR0,1,1.3734074,1,1.109976
Nitrogen/Sulfur dioxide                                   [N2/SO2],N#N.O=S=O,XR0,0.95613812,1.1946588,1.106654368,1.2155808
Nitrogen/Methanol                                         [N2/MEO],N#N.CO,XR0,0.998,1.5293,0.534,1.529
Nitrogen/Isooctane                                        [N2/C8I],N#N.CC(C)CC(C)(C)C,XR0,0.9911294,1.55448,1,1
Nitrogen/Methylcyclohexane                                [N2/C1CC6],N#N.CC1CCCCC1,XR0,0.991,1.542,1,1
Nitrogen/Toluene                                          [N2/TOL],N#N.CC1=CC=CC=C1,XR0,1,1.524,1,1
Nitrogen/p-Xylene                                         [N2/XYP],N#N.CC1=CC=C(C=C1)C,XR0,0.99471,1.63462,1,1
Nitrogen/Propylcyclohexane                                [N2/C3CC6],N#N.CCCC1CCCCC1,XR0,0.9880837,1.69332,1,1
Carbon monoxide/Oxygen                                    [CO/O2],[C-]#[O+].O=O,XR0,1,0.993425388,1,1.008690943
Carbon monoxide/Ethylene                                  [CO/ETY],[C-]#[O+].C=C,XR0,0.96488997,1.09111,1,1
Carbon monoxide/Propylene                                 [CO/PRY],[C-]#[O+].CC=C,XR0,1,1.184,1,1
Carbon monoxide/Sulfur dioxide                            [CO/SO2],[C-]#[O+].O=S=O,XR0,1,1.177903242,1,1.00724143
Carbon monoxide/Butene                                    [CO/1BE],[C-]#[O+].CCC=C,XR0,1,1.3077,1,1
Carbon monoxide/Ethanol                                   [CO/ETO],[C-]#[O+].CCO,XR0,1,1.56,1,1
Carbon monoxide/Benzene                                   [CO/BEN],[C-]#[O+].C1=CC=CC=C1,XR0,1,1.435,1,1
Carbon monoxide/Cyclohexane                               [CO/CC6],[C-]#[O+].C1CCCCC1,XR0,0.9917,1.4608,1,1
Carbon monoxide/Toluene                                   [CO/TOL],[C-]#[O+].CC1=CC=CC=C1,XR0,1,1.499,1,1
Carbon monoxide/p-Xylene                                  [CO/XYP],[C-]#[O+].CC1=CC=C(C=C1)C,XR0,0.981810006,1.62153,1,1
Carbon monoxide/m-Xylene                                  [CO/XYM],[C-]#[O+].CC1=CC(=CC=C1)C,XR0,0.984390035,1.5975,1,1
Carbon monoxide/Dodecane                                  [CO/C12],[C-]#[O+].CCCCCCCCCCCC,XR0,0.933,1.941,1,0.87
Argon/Oxygen                                              [AR/O2],[Ar].O=O,XR0,1.000961924,0.988822,0.993540003,1.001341
Argon/Krypton                                             [AR/KR],[Ar].[Kr],XR0,1,1.0025306,1,1.0037297
Argon/Hydrogen sulfide                                    [AR/H2S],[Ar].S,XR0,1.004692366,0.9601742,0.910394249,1.256844157
Argon/Propylene                                           [AR/PRY],[Ar].CC=C,XR0,1,1.158,1,1
Argon/Propane                                             [AR/C3],[Ar].CCC,XR0,1.002677329,1.201264026,0.974424681,1.081025408
Argon/R22                                                 [AR/R22],[Ar].C(F)(F)Cl,XR0,1,1.1883347,1,1.0519798
Argon/Ammonia                                             [AR/NH3],[Ar].N,XR0,0.9662022,1.06504,1,1
Argon/Isobutane                                           [AR/C4I],[Ar].CC(C)C,XR0,0.99286813,1.284462634,0.98641583,1.100576129
Argon/Neopentane                                          [AR/C5A],[Ar].CC(C)(C)C,XR0,1.000190036,1.28707,1,1
Argon/Isopentane                                          [AR/C5I],[Ar].CCC(C)C,XR0,1,1.38177077,1,1.154135439
Argon/Pentane                                             [AR/C5],[Ar].CCCCC,XR0,1,1.419029041,1,1.078877166
Argon/Cyclopentane                                        [AR/CC5],[Ar].C1CCCC1,XR0,0.979799954,1.36013,1,1
Argon/Methanol                                            [AR/MEO],[Ar].CO,XR0,1,1.436,1,1
Argon/Hexane                                              [AR/C6],[Ar].CCCCCC,XR0,1,1.472607971,1,1.195952177
Argon/Ethanol                                             [AR/ETO],[Ar].CCO,XR0,1,1.492,1,1
Argon/Benzene                                             [AR/BEN],[Ar].C1=CC=CC=C1,XR0,1.01,1.397,1,1
Argon/Heptane                                             [AR/C7],[Ar].CCCCCCC,XR0,1,1.520975334,1,1.40455409
Argon/Water                                               [AR/H2O],[Ar].O,XR0,1.472528508,0.921,1.063379548,1.050952
Argon/Toluene                                             [AR/TOL],[Ar].CC1=CC=CC=C1,XR0,1,1.45,1,1
Argon/Octane                                              [AR/C8],[Ar].CCCCCCCC,XR0,1,1.733280051,1,1.186067025
Argon/Nonane                                              [AR/C9],[Ar].CCCCCCCCC,XR0,0.95637945,1.749119996,1,1.100405929
Argon/Decane                                              [AR/C10],[Ar].CCCCCCCCCC,XR0,0.957934447,1.822157123,1,1
Oxygen/Krypton                                            [O2/KR],O=O.[Kr],XR0,1,0.9729,1,1.0043319
Oxygen/Nitrous oxide                                      [O2/N2O],O=O.[N-]=[N+]=O,XR0,0.9525,1.1068,1,1
Oxygen/Carbon dioxide                                     [O2/CO2],O=O.C(=O)=O,XR0,1,1.031986,1,1.08446
Oxygen/Hydrogen sulfide                                   [O2/H2S],O=O.S,XR0,1.004692366,0.9601742,0.910394249,1.256844157
Oxygen/Propylene                                          [O2/PRY],O=O.CC=C,XR0,1,1.155,1,1
Oxygen/Propane                                            [O2/C3],O=O.CCC,XR0,1.002677329,1.201264026,0.974424681,1.081025408
Oxygen/Isobutane                                          [O2/C4I],O=O.CC(C)C,XR0,0.99286813,1.284462634,0.98641583,1.100576129
Oxygen/Sulfur dioxide                                     [O2/SO2],O=O.O=S=O,XR0,1.077631495,1.0358782,0.820178827,1.6606317
Oxygen/Butane                                             [O2/C4],O=O.CCCC,XR0,0.994515234,1.304886838,0.99608261,1.146949309
Oxygen/Isopentane                                         [O2/C5I],O=O.CCC(C)C,XR0,1,1.38177077,1,1.154135439
Oxygen/Pentane                                            [O2/C5],O=O.CCCCC,XR0,1,1.419029041,1,1.078877166
Oxygen/Methanol                                           [O2/MEO],O=O.CO,XR0,1,1.436,1,1
Oxygen/Hexane                                             [O2/C6],O=O.CCCCCC,XR0,1,1.472607971,1,1.195952177
Oxygen/Ethanol                                            [O2/ETO],O=O.CCO,XR0,1,1.492,1,1
Oxygen/Benzene                                            [O2/BEN],O=O.C1=CC=CC=C1,XR0,1.01,1.397,1,1
Oxygen/Cyclohexane                                        [O2/CC6],O=O.C1CCCCC1,XR0,1,1.3883,1,1
Oxygen/Heptane                                            [O2/C7],O=O.CCCCCCC,XR0,1,1.520975334,1,1.40455409
Oxygen/Toluene                                            [O2/TOL],O=O.CC1=CC=CC=C1,XR0,1,1.45,1,1
Oxygen/Octane                                             [O2/C8],O=O.CCCCCCCC,XR0,1,1.733280051,1,1.186067025
Oxygen/Nonane                                             [O2/C9],O=O.CCCCCCCCC,XR0,0.95637945,1.749119996,1,1.100405929
Oxygen/Decane                                             [O2/C10],O=O.CCCCCCCCCC,XR0,0.957934447,1.822157123,1,1
Krypton/Xenon                                             [KR/XE],[Kr].[Xe],XR0,1,1.019637,1,1.0054519
Krypton/Ethane                                            [KR/C2],[Kr].CC,XR0,0.992161921,1.0437,1,1
Krypton/Propylene                                         [KR/PRY],[Kr].CC=C,XR0,1,1.0773977,1,1.0390195
Krypton/Ammonia                                           [KR/NH3],[Kr].N,XR0,1.011818,0.92419,1,1
R14/Ethane                                                [R14/C2],C(F)(F)(F)F.CC,XR0,0.985386715,0.89216,1,1
R14/R23                                                   [R14/R23],C(F)(F)(F)F.C(F)(F)F,XR0,1,0.946758,1,1.0002627
R14/R13                                                   [R14/R13],C(F)(F)(F)F.C(F)(F)(F)Cl,XR0,1,0.9927242,1,1.0048844
R14/Toluene                                               [R14/TOL],C(F)(F)(F)F.CC1=CC=CC=C1,XR0,0.920319984,1.18828,1,1
Xenon/Ethylene                                            [XE/ETY],[Xe].C=C,XR0,1,0.9798,1,1.0048
Xenon/Ethane                                              [XE/C2],[Xe].CC,XR0,1,1.0112641,1,1.0034307
Xenon/Hydrogen chloride                                   [XE/HCL],[Xe].Cl,XR0,1.0176667,0.90579,1,1
Xenon/R41                                                 [XE/R41],[Xe].CF,XR0,1.0229865,0.91395,1,1
Xenon/Sulfur hexafluoride                                 [XE/SF6],[Xe].FS(F)(F)(F)(F)F,XR0,1.0366024,0.92846,1,1
Xenon/Propylene                                           [XE/PRY],[Xe].CC=C,XR0,1.009784815,1.01223,1,1
Xenon/Propane                                             [XE/C3],[Xe].CCC,XR0,0.99511399,1.04133,1,1
Xenon/Cyclopropane                                        [XE/CC3],[Xe].C1CC1,XR0,0.934273836,0.94711,1,1
Xenon/R40                                                 [XE/R40],[Xe].CCl,XR0,1.0366562,1.03491,1,1
Xenon/Cyclopentane                                        [XE/CC5],[Xe].C1CCCC1,XR0,0.953688869,1.17726,1,1
