BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
1.0,1.1114773,1,1.0219928,C,FC(F)Cl
1.0,1.0674,1,1.1693,N#N,FC(F)(F)F
1.0,1.181,1,1.1727,N#N,FC(F)(F)Cl
1.0,1.2360548,1,1.0311034,N#N,FC(F)Cl
1.0,1.2981559,1,1.0625855,N#N,FC(F)(Cl)Cl
0.9987715,1.30226,1,1.0,N#N,FC(F)(F)I
1.0,1.3734074,1,1.109976,N#N,FC(C(F)(F)F)C(F)(F)F
1.0,1.1883347,1,1.0519798,[Ar],FC(F)Cl
0.985386715,0.89216,1,1.0,FC(F)(F)F,CC
1.0,0.946758,1,1.0002627,FC(F)(F)F,FC(F)F
1.0,0.9927242,1,1.0048844,FC(F)(F)F,FC(F)(F)Cl
0.920319984,1.18828,1,1.0,FC(F)(F)F,Cc1ccccc1
1.0229865,0.91395,1,1.0,[Xe],CF
1.0366562,1.03491,1,1.0,[Xe],CCl
1.01864,0.99653,1,1.0,C=C,FC(F)=C(F)C(F)(F)F
1.00597,0.87082,1,1.0,CC,FC(F)F
1.03539,0.89844,1,1.0,CC,FC(F)(F)C(F)(F)F
1.0,1.002,1,1.0,CC,C=CC
1.03147,0.93581,1,1.0,CC,FC(F)(F)C(F)(F)C(F)(F)F
1.01157,0.93961,1,1.0,CC,FC(F)=C(F)C(F)(F)F
0.97626,0.77302,1,1.0,[N-]=[N+]=O,FC(F)C(F)(F)F
0.98722,1.10901,1,1.0,Cl,CF
1.00252,0.9976,1,1.0,Cl,FCF
0.98451,1.08265,1,1.0,Cl,CCl
1.00828,1.00217,1,1.0,Cl,FC(F)(Cl)Br
1.0,0.979714,1,1.0099333,FC(F)F,O=C=O
1.0,0.9090532,1,1.0229397,FC(F)F,FC(F)(F)C(F)(F)F
0.994449975,0.91843,1,1.0,FC(F)F,FS(F)(F)(F)(F)F
1.00116,1.00385,1,1.0,FC(F)F,FCF
1.00316,1.00309,1,1.0,FC(F)F,FC(F)C(F)(F)F
1.0,0.9107001,1,1.0085527,FC(F)F,C=CC
1.008095,1.00381,1,1.0,FC(F)F,CC(F)(F)F
1.012002348,0.87585,1,1.0,FC(F)F,CCC
1.0,0.9894644,1,1.00389,FC(F)F,FC(F)Cl
1.0,0.9266031,1,1.0187876,FC(F)F,FC(F)(Cl)Cl
