BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
1.0,0.9930853,1.0,1.0003826,C,[Kr]
0.98876,1.02354,1.0,1.0,C,[N-]=[N+]=O
1.0,1.0391,1.0,1.1443,C,O=C=S
0.998,1.117,1.0,1.0,C,C=CC
1.0,1.1114773,1.0,1.0219928,C,FC(F)Cl
1.0,1.1118,1.0,1.1094,C,COC
1.03694,1.07082,1.0,1.0,C,O=S=O
1.013695,1.12365,1.0,1.0,C,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1.0,1.1976,1.0,1.0772,C,CC(C)(C)C
0.98,1.363,0.961,1.041,C,CC1CCCCC1
0.904,1.716,1.0,0.978,C,CCCCCCCCCCCC
1.0,1.0,1.0,1.0,[HH],[HH]
1.0087153,0.99511,1.0,1.0,[HH],[H][H]
0.98882,0.83393,1.0,1.0,[H][H],[Ne]
1.015610028,1.22898,1.0,1.0,[H][H],N#N
1.004,1.0994,1.0,1.051,[Ne],[Ar]
1.02385,1.1957,1.0,1.0,[Ne],[Kr]
1.002409,0.9941,1.0,1.001317,N#N,[C-]#[O+]
0.999442,0.989311,1.006697,1.001549,N#N,[Ar]
1.0,1.0674,1.0,1.1693,N#N,FC(F)(F)F
1.0,1.181,1.0,1.1727,N#N,FC(F)(F)Cl
0.99,1.197,1.0,1.0,N#N,C=CC
1.0,1.2360548,1.0,1.0311034,N#N,FC(F)Cl
1.0,1.2981559,1.0,1.0625855,N#N,FC(F)(Cl)Cl
0.9987715,1.30226,1.0,1.0,N#N,FC(F)(F)I
0.95613812,1.1946588,1.106654368,1.2155808,N#N,O=S=O
0.998,1.5293,0.534,1.529,N#N,CO
0.9911294,1.55448,1.0,1.0,N#N,CC(C)CC(C)(C)C
0.991,1.542,1.0,1.0,N#N,CC1CCCCC1
0.99471,1.63462,1.0,1.0,N#N,Cc1ccc(C)cc1
0.9880837,1.69332,1.0,1.0,N#N,CCCC1CCCCC1
0.96488997,1.09111,1.0,1.0,[C-]#[O+],C=C
1.0,1.184,1.0,1.0,[C-]#[O+],C=CC
1.0,1.177903242,1.0,1.00724143,[C-]#[O+],O=S=O
1.0,1.3077,1.0,1.0,[C-]#[O+],C=CCC
1.0,1.56,1.0,1.0,[C-]#[O+],CCO
1.0,1.435,1.0,1.0,[C-]#[O+],c1ccccc1
0.9917,1.4608,1.0,1.0,[C-]#[O+],C1CCCCC1
0.981810006,1.62153,1.0,1.0,[C-]#[O+],Cc1ccc(C)cc1
0.984390035,1.5975,1.0,1.0,[C-]#[O+],Cc1cccc(C)c1
0.933,1.941,1.0,0.87,[C-]#[O+],CCCCCCCCCCCC
1.0,1.0025306,1.0,1.0037297,[Ar],[Kr]
1.004692366,0.9601742,0.910394249,1.256844157,[Ar],S
1.0,1.158,1.0,1.0,[Ar],C=CC
1.002677329,1.201264026,0.974424681,1.081025408,[Ar],CCC
1.0,1.1883347,1.0,1.0519798,[Ar],FC(F)Cl
0.9662022,1.06504,1.0,1.0,[Ar],N
0.99286813,1.284462634,0.98641583,1.100576129,[Ar],CC(C)C
1.000190036,1.28707,1.0,1.0,[Ar],CC(C)(C)C
1.0,1.38177077,1.0,1.154135439,[Ar],CCC(C)C
1.0,1.419029041,1.0,1.078877166,[Ar],CCCCC
0.979799954,1.36013,1.0,1.0,[Ar],C1CCCC1
1.0,1.436,1.0,1.0,[Ar],CO
1.0,1.472607971,1.0,1.195952177,[Ar],CCCCCC
1.0,1.492,1.0,1.0,[Ar],CCO
1.01,1.397,1.0,1.0,[Ar],c1ccccc1
1.0,1.520975334,1.0,1.40455409,[Ar],CCCCCCC
1.472528508,0.921,1.063379548,1.050952,[Ar],O
1.0,1.733280051,1.0,1.186067025,[Ar],CCCCCCCC
0.95637945,1.749119996,1.0,1.100405929,[Ar],CCCCCCCCC
0.957934447,1.822157123,1.0,1.0,[Ar],CCCCCCCCCC
1.0,1.019637,1.0,1.0054519,[Kr],[Xe]
0.992161921,1.0437,1.0,1.0,[Kr],CC
1.0,1.0773977,1.0,1.0390195,[Kr],C=CC
1.011818,0.92419,1.0,1.0,[Kr],N
0.985386715,0.89216,1.0,1.0,FC(F)(F)F,CC
1.0,0.9927242,1.0,1.0048844,FC(F)(F)F,FC(F)(F)Cl
1.0,0.9798,1.0,1.0048,[Xe],C=C
1.0,1.0112641,1.0,1.0034307,[Xe],CC
1.0176667,0.90579,1.0,1.0,[Xe],Cl
1.0229865,0.91395,1.0,1.0,[Xe],CF
1.0366024,0.92846,1.0,1.0,[Xe],FS(F)(F)(F)(F)F
1.009784815,1.01223,1.0,1.0,[Xe],C=CC
0.99511399,1.04133,1.0,1.0,[Xe],CCC
0.934273836,0.94711,1.0,1.0,[Xe],C1CC1
1.0366562,1.03491,1.0,1.0,[Xe],CCl
0.953688869,1.17726,1.0,1.0,[Xe],C1CCCC1
1.068855683,0.77335,1.0,1.0,[Xe],CO
0.980786395,1.16656,1.0,1.0,[Xe],CCCCCC
1.004,1.016,1.0,1.0,C=C,C=CC
1.006036217,1.014,1.0,1.0,C=C,CCC
1.01864,0.99653,1.0,1.0,C=C,FC(F)=C(F)C(F)(F)F
0.995024876,1.057,1.0,1.0,C=C,CC(C)C
1.0,1.0486,1.0,1.0,C=C,C=CCC
1.0415148,0.97341,1.0,1.0,C=C,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
0.978473581,1.058,1.0,1.0,C=C,CCCC
0.9890121,1.10874,1.0,1.0,C=C,CCOCC
1.0078308,1.10077,1.0,1.0,C=C,CC(C)=O
0.955,1.143,1.481,0.857,C=C,CO
1.0,1.149,0.788,1.159,C=C,CCO
0.978473581,1.124,1.0,1.0,C=C,c1ccccc1
0.9987416,1.12037,1.0,1.0,C=C,C1CCCCC1
0.99182,0.90586,1.0,1.0,CC,Cl
1.03539,0.89844,1.0,1.0,CC,FC(F)(F)C(F)(F)F
1.0,1.002,1.0,1.0,CC,C=CC
1.03147,0.93581,1.0,1.0,CC,FC(F)(F)C(F)(F)C(F)(F)F
1.01157,0.93961,1.0,1.0,CC,FC(F)=C(F)C(F)(F)F
1.0,1.0388,1.0,1.0476,CC,COC
1.0288172,0.97003,1.0,1.0,CC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
0.994,1.086,1.0,1.179,CC,CCO
1.0,1.081,1.0,1.0,CC,c1ccccc1
0.9958,1.1004,1.0,1.0,CC,C1CCCCC1
0.90358,1.22877,1.0,1.0,CC,CC(C)CC(C)(C)C
0.988,1.122,1.0,1.0,CC,CC1CCCCC1
0.98799,1.17616,1.0,1.0,CC,Cc1cccc(C)c1
0.9812387,1.195,1.0,1.0,CC,CCCC1CCCCC1
0.9430937,1.27938,1.0,1.0,CC,CCCCCCCCCCC
0.97,1.3,1.0,1.24,CC,CCCCCCCCCCCC
0.97626,0.77302,1.0,1.0,[N-]=[N+]=O,FC(F)C(F)(F)F
0.965763678,1.2736,1.0,1.0,[N-]=[N+]=O,CCCCCCCCCCCC
0.98722,1.10901,1.0,1.0,Cl,CF
1.00252,0.9976,1.0,1.0,Cl,FCF
1.02143001,0.9176,1.0,1.0,Cl,CCC
1.004006,0.96115,1.0,1.0,Cl,ClCl
0.98451,1.08265,1.0,1.0,Cl,CCl
0.9942,1.05144,1.0,1.0,Cl,O=S=O
1.00828,1.00217,1.0,1.0,Cl,FC(F)(Cl)Br
1.030736564,0.94381,1.0,1.0,Cl,CCCC
0.90069001,1.65053,1.0,1.0,Cl,CO
1.014810036,1.01449,1.0,1.0,Cl,CCCCCC
1.0,0.9573813,1.0,1.0000414,FC(F)(F)Cl,C=CC
0.962843856,0.76464,1.0,1.0,FC(F)(F)Cl,N
1.0,0.9876934,1.0,1.0026221,FC(F)(F)Cl,FC(F)(Cl)Cl
1.004490071,0.98045,1.0,1.0,FC(F)(F)Cl,CC(C)C
1.00270731,0.98279,1.0,1.0,FC(F)(F)Cl,CCCC
1.0,1.0143855,1.0,1.0087681,FC(F)(F)Cl,FC(Cl)(Cl)Cl
1.0,1.0452965,1.0,1.0322528,FC(F)(F)Cl,FC(F)(Cl)C(F)(Cl)Cl
1.03808,0.89857,1.0,1.0,O=C=O,FC(F)(F)C(F)(F)F
1.0,0.9978225,1.0,1.0058521,O=C=O,FCF
1.00023,0.9445,1.0,1.0,O=C=O,O=C=S
1.0115,0.96741,1.0,1.0,O=C=O,FC(F)C(F)(F)F
1.02027,0.98474,1.0,1.0,O=C=O,CC(F)(F)F
1.0,1.0037903,1.0,1.0261472,O=C=O,FC(F)Cl
1.005,0.99,1.0,1.0,O=C=O,FC(F)=C(F)C(F)(F)F
1.01811,0.9576,1.0,1.0,O=C=O,FC(F)(Cl)Cl
1.0,1.008,1.0,1.0,O=C=O,FCC(F)(F)F
1.0,1.028,1.0,1.0194,O=C=O,COC
1.00224,1.00646,1.0,1.0,O=C=O,CC(F)F
0.99517,1.01028,1.0,1.0,O=C=O,FC(Cl)C(F)(F)F
1.020063,1.0079753,0.889865,1.0057783,O=C=O,O=S=O
1.0,0.9888,1.0,1.0626246,O=C=O,CC(F)(F)Cl
1.0199,0.968,1.0,1.0,O=C=O,C=CCC
1.0416341,0.95201,1.0,1.0,O=C=O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
