Name,Isomeric SMILES,Model,BetaT,GammaT,BetaV,GammaV,Fij,Tred_0,Tred_0_1,Tred_0_2,Tred_0_3,Tred_0_4,Tred_0_5,Tred_0_6,Tred_0_7,Tred_0_8,Tred_0_9,Tred_1,Dred_0,Dred_0_1,Dred_0_2,Dred_0_3,Dred_0_4,Dred_0_5,Dred_0_6,Dred_0_7,Dred_0_8,Dred_0_9,Dred_1
Methane/Helium                                            [C1/HE],C.[He],KW0,1,3.159776855,1,0.881405683,0,5.1953,24.00977915,42.76256737,61.45366468,80.08307106,98.65078652,117.1568111,135.6011447,153.9837874,172.3047391,190.564,17.3837,16.75678681,16.06048854,15.31697668,14.54659728,13.76703199,12.99289677,12.23569391,11.50401126,10.80386844,10.139128
Methane/Carbon monoxide                                   [C1/CO],C.[C-]#[O+],KW0,0.987411732,0.987473033,0.997340772,1.006102927,0,132.86,137.5185935,142.5493995,147.9063169,153.5427786,159.4117457,165.4657012,171.6566442,177.9360839,184.2550325,190.564,10.85,10.76733321,10.68561502,10.60551532,10.52766515,10.45265975,10.38106216,10.3134074,10.25020698,10.19195392,10.139128
Methane/Argon                                             [C1/AR],C.[Ar],KW0,0.990954281,0.989843388,1.034630259,1.014678542,0,150.687,153.9353565,157.4443241,161.1782434,165.1011962,169.1770033,173.3692218,177.6411434,181.9557909,186.2759167,190.564,13.40742965,12.89541328,12.4711408,12.10969888,11.79201657,11.50305776,11.23072867,10.96522452,10.6986515,10.42481891,10.139128
Methane/Oxygen                                            [C1/O2],C.O=O,KW0,1,0.95,1,1,0,154.599,156.4816258,158.7451125,161.3894602,164.4146688,167.8207383,171.6076688,175.7754602,180.3241125,185.2536258,190.564,13.342189,12.94991031,12.57661655,12.22100849,11.88190182,11.55821476,11.24895717,10.95322115,10.67017264,10.39904409,10.139128
Methane/Ethylene                                          [C1/ETY],C.C=C,KW0,1.004,1.021,1,0.99,0.106,282.35,273.3751069,264.2940987,255.1299209,245.9054453,236.6434708,227.3667235,218.0978572,208.8594534,199.6740216,190.564,7.63676598,7.851063522,8.072772976,8.3021199,8.539326734,8.78461084,9.038182243,9.300241027,9.570974361,9.850553109,10.139128
Methane/Hydrogen sulfide                                  [C1/H2S],C.S,KW0,1.011090031,0.961155729,1.012599087,1.040161207,0,373.1,350.6561296,328.9597215,308.0807347,288.0885101,269.0517765,251.0386576,234.1166791,218.3527743,203.8132915,190.564,10.19,10.09278023,10.02572031,9.984478133,9.965294871,9.964817789,9.97996334,10.00780992,10.04551354,10.09024234,10.139128
Methane/Ammonia                                           [C1/NH3],C.N,KW0,1.022371,0.940156,1.006058,1.069834,0,405.56,378.2908244,351.9221136,326.6014633,302.4738455,279.6816669,258.3648249,238.6607632,220.7045248,204.6288046,190.564,13.696,13.05310518,12.50926224,12.04538037,11.64695739,11.30276408,11.00395461,10.74345008,10.51550207,10.31537765,10.139128
Methane/Methanol                                          [C1/MEO],C.CO,KW0,0.972,1.308,0.713,1.137,1.276,513.38,489.719996,464.858506,438.5381503,410.4957363,380.4620933,348.1619021,313.3135179,275.628788,234.8128629,190.564,8.78517,9.135606623,9.319188334,9.345231054,9.248504876,9.081888097,8.908730853,8.800821833,8.848026943,9.192671621,10.139128
Methane/Hexane                                            [C1/C6],C.CCCCCC,KW0,0.981844797,1.330570181,0.958015294,1.052643846,0,507.82,486.6563794,463.6186713,438.53401,411.2270056,381.5196973,349.231507,314.1791901,276.1767868,235.0355713,190.564,2.706,2.959663511,3.24908121,3.58344013,3.97584223,4.44560068,5.022326405,5.753678443,6.72129291,8.077130985,10.139128
Methane/Ethanol                                           [C1/ETO],C.CCO,KW0,0.954,1.366,1,1,1.486,514.71,492.950838,470.030038,445.5245104,418.9953868,389.9872772,358.0274856,322.6251795,283.2705121,239.4336923,190.564,5.93,6.208358521,6.508857944,6.834106884,7.18713409,7.571476193,7.991288374,8.45148525,8.957922074,9.517630357,10.139128
