BetaT,GammaT,BetaV,GammaV,Fij,SMILES_part1,SMILES_part2
1.0,3.159776855,1.0,0.881405683,0.0,C,[He]
0.987411732,0.987473033,0.997340772,1.006102927,0.0,C,[C-]#[O+]
0.990954281,0.989843388,1.034630259,1.014678542,0.0,C,[Ar]
1.0,0.95,1.0,1.0,0.0,C,O=O
1.004,1.021,1.0,0.99,0.106,C,C=C
1.011090031,0.961155729,1.012599087,1.040161207,0.0,C,S
1.022371,0.940156,1.006058,1.069834,0.0,C,N
0.972,1.308,0.713,1.137,1.276,C,CO
0.981844797,1.330570181,0.958015294,1.052643846,0.0,C,CCCCCC
0.954,1.366,1.0,1.0,1.486,C,CCO
1.0,1.3145,1.0,1.0835,-0.3986,C,C1CCCCC1
0.977431529,1.379850328,0.962050831,1.156655935,0.0,C,CCCCCCC
1.063333913,0.775810513,1.012783169,1.585018334,0.0,C,O
0.967,1.34,0.961,1.085,1.313,C,Cc1ccccc1
0.957473785,1.449245409,0.994740603,1.116549372,0.0,C,CCCCCCCC
0.947716769,1.528532478,1.002852287,1.141895355,0.0,C,CCCCCCCCC
0.937777823,1.568231489,1.033086292,1.146089637,0.0,C,CCCCCCCCCC
1.443274759,1.47183158,1.031458393,0.932629867,0.0,[He],N#N
1.0,1.0,1.0,1.0,0.0,[He],[C-]#[O+]
1.0,1.0,1.0,1.0,0.0,[He],[Ar]
1.0,1.0,1.0,1.0,0.0,[He],O=O
1.0,1.0,1.0,1.0,0.0,[He],CC
1.301443406,3.207456948,1.181129015,0.864141549,0.0,[He],O=C=O
1.0,1.0,1.0,1.0,0.0,[He],S
1.0,1.0,1.0,1.0,0.0,[He],CCC
1.0,1.0,1.0,1.0,0.0,[He],CC(C)C
1.0,1.0,1.0,1.0,0.0,[He],CCCC
1.0,1.0,1.0,1.0,0.0,[He],CCC(C)C
1.0,1.0,1.0,1.0,0.0,[He],CCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCC
1.0,1.0,1.0,1.0,0.0,[He],O
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCCCC
1.0,1.0,1.0,1.0,0.0,[He],CCCCCCCCCC
