name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
Methane/R22                                               [C1/R22],C.C(F)(F)Cl,XR0,1,1.1114773,1,1.0219928
Nitrogen/R14                                              [N2/R14],N#N.C(F)(F)(F)F,XR0,1,1.0674,1,1.1693
Nitrogen/R13                                              [N2/R13],N#N.C(F)(F)(F)Cl,XR0,1,1.181,1,1.1727
Nitrogen/R22                                              [N2/R22],N#N.C(F)(F)Cl,XR0,1,1.2360548,1,1.0311034
Nitrogen/R12                                              [N2/R12],N#N.C(F)(F)(Cl)Cl,XR0,1,1.2981559,1,1.0625855
Nitrogen/R13I1                                            [N2/CF3I],N#N.C(F)(F)(F)I,XR0,0.9987715,1.30226,1,1
Nitrogen/R227ea                                           [N2/R227EA],N#N.C(C(F)(F)F)(C(F)(F)F)F,XR0,1,1.3734074,1,1.109976
Argon/R22                                                 [AR/R22],[Ar].C(F)(F)Cl,XR0,1,1.1883347,1,1.0519798
R14/Ethane                                                [R14/C2],C(F)(F)(F)F.CC,XR0,0.985386715,0.89216,1,1
R14/R23                                                   [R14/R23],C(F)(F)(F)F.C(F)(F)F,XR0,1,0.946758,1,1.0002627
R14/R13                                                   [R14/R13],C(F)(F)(F)F.C(F)(F)(F)Cl,XR0,1,0.9927242,1,1.0048844
R14/Toluene                                               [R14/TOL],C(F)(F)(F)F.CC1=CC=CC=C1,XR0,0.920319984,1.18828,1,1
Xenon/R41                                                 [XE/R41],[Xe].CF,XR0,1.0229865,0.91395,1,1
Xenon/R40                                                 [XE/R40],[Xe].CCl,XR0,1.0366562,1.03491,1,1
Ethylene/R1216                                            [ETY/R1216],C=C.C(=C(F)F)(C(F)(F)F)F,XR0,1.01864,0.99653,1,1
Ethane/R23                                                [C2/R23],CC.C(F)(F)F,XR0,1.00597,0.87082,1,1
Ethane/R116                                               [C2/R116],CC.C(C(F)(F)F)(F)(F)F,XR0,1.03539,0.89844,1,1
Ethane/Propylene                                          [C2/PRY],CC.CC=C,XR0,1,1.002,1,1
Ethane/R218                                               [C2/R218],CC.C(C(F)(F)F)(C(F)(F)F)(F)F,XR0,1.03147,0.93581,1,1
Ethane/R1216                                              [C2/R1216],CC.C(=C(F)F)(C(F)(F)F)F,XR0,1.01157,0.93961,1,1
Nitrous oxide/R125                                        [N2O/R125],[N-]=[N+]=O.C(C(F)(F)F)(F)F,XR0,0.97626,0.77302,1,1
Hydrogen chloride/R41                                     [HCL/R41],Cl.CF,XR0,0.98722,1.10901,1,1
Hydrogen chloride/R32                                     [HCL/R32],Cl.C(F)F,XR0,1.00252,0.9976,1,1
Hydrogen chloride/R40                                     [HCL/R40],Cl.CCl,XR0,0.98451,1.08265,1,1
Hydrogen chloride/R142b                                   [HCL/R142B],Cl.C(F)(F)(Cl)Br,XR0,1.00828,1.00217,1,1
R23/Carbon dioxide                                        [R23/CO2],C(F)(F)F.C(=O)=O,XR0,1,0.979714,1,1.0099333
R23/R116                                                  [R23/R116],C(F)(F)F.C(C(F)(F)F)(F)(F)F,XR0,1,0.9090532,1,1.0229397
R23/Sulfur hexafluoride                                   [R23/SF6],C(F)(F)F.FS(F)(F)(F)(F)F,XR0,0.994449975,0.91843,1,1
R23/R32                                                   [R23/R32],C(F)(F)F.C(F)F,XR0,1.00116,1.00385,1,1
R23/R125                                                  [R23/R125],C(F)(F)F.C(C(F)(F)F)(F)F,XR0,1.00316,1.00309,1,1
R23/Propylene                                             [R23/PRY],C(F)(F)F.CC=C,XR0,1,0.9107001,1,1.0085527
R23/R143a                                                 [R23/R143A],C(F)(F)F.CC(F)(F)F,XR0,1.008095,1.00381,1,1
R23/Propane                                               [R23/C3],C(F)(F)F.CCC,XR0,1.012002348,0.87585,1,1
R23/R22                                                   [R23/R22],C(F)(F)F.C(F)(F)Cl,XR0,1,0.9894644,1,1.00389
R23/R12                                                   [R23/R12],C(F)(F)F.C(F)(F)(Cl)Cl,XR0,1,0.9266031,1,1.0187876
